harvest_day,seedling,water_potential_m_pa,approximate_measurement_time,notes_WP,date,harvester,time,water_level,n,total_tips,colonized_tips,root_mass_mg,frozen_at_time,notes_COL,colonized,percent_col,minutes_in_cooler,drydown_day,corrected_phi,ID,mass (g)
1,HC008,-1.5,16:56:00,NA,20220204,Laura,14:40:00,H,Minus,89,70,0.66,14:51,Great! Hyphae ALL over roots,Y,78.65168539325843,136,1,-1.287704,HC008,0.092
2,MM030,-1.5,16:30:00,NA,20220206,Glade,14:22:00,L,Plus,NA,NA,0.49,14:29,NA,N,0,128,3,-1.300192,MM030,0.093
2,HC061,-1.5,17:02:00,NA,20220206,Glade,13:46:00,M,Minus,105,95,0.73,14:10,NA,Y,90.47619047619048,196,3,-1.194044,HC061,0.073
3,MM024,-1.5,11:45:00,"11:45am, startin 1375 psi",20220210,Oceana,10:36:00,H,Plus,NA,NA,0.32,11:45,NA,N,0,69,7,-1.392291,MM024,0.062
3,MM024,-1.5,11:45:00,"11:45am, startin 1375 psi",20220210,Oceana,10:36:00,H,Plus,NA,NA,0.32,11:45,NA,N,0,69,7,-1.392291,MM024,0.074
3,HC103,-1.5,12:05:00,NA,20220210,Laura,09:55:00,M,Plus,28,0,0.29,10:05,not colonized,Y,0,130,7,-1.29707,HC103,0.036
3,MM086,-1.5,16:28:00,NA,20220210,Isobel,14:55:00,L,Plus,NA,NA,0.51,15:03,NA,N,0,93,7,-1.354827,MM086,0.095
3,MM052,-1.5,16:58:00,NA,20220210,Isobel,12:54:00,H,Plus,NA,NA,0.34,13:00,NA,N,0,244,7,-1.119116,MM052,0.082
4,MM023,-1.5,12:37:00,NA,20220214,Isobel,10:30:00,L,Plus,NA,NA,0.59,10:35,NA,N,0,127,10,-1.301753,MM023,0.082
4,MM014,-1.5,16:28:00,NA,20220214,Isobel,14:25:00,H,Minus,NA,NA,0.06,14.3,NA,N,0,123,10,-1.307997,MM014,0.033
4,HC004,-1.5,16:30:00,NA,20220214,Isobel,14:30:00,L,Plus,78,73,0.48,14:42,NA,Y,93.58974358974359,120,10,-1.31268,HC004,0.101
1,MM064,-1.45,16:14:00,NA,20220204,Laura,10:50:00,L,Plus,NA,NA,0.62,11:00,NA,N,0,324,1,-0.944236,MM064,0.101
1,HC028,-1.4,16:00:00,NA,20220204,Oceana,14:32:00,H,Plus,84,56,0.63,14:51,NA,Y,66.66666666666666,88,1,-1.262632,HC028,0.115
1,MM017,-1.4,16:16:00,NA,20220204,Oceana,12:20:00,H,Minus,NA,NA,0.69,12:28,NA,N,0,236,1,-1.031604,MM017,0.108
1,MM045,-1.4,16:22:00,NA,20220204,Oceana,11:30:00,L,Plus,NA,NA,0.54,11:38,NA,N,0,292,1,-0.944188,MM045,0.066
1,HC003,-1.4,16:28:00,NA,20220204,Isobel,15:25:00,M,Plus,95,74,0.41,15:37,NA,Y,77.89473684210526,63,1,-1.301657,HC003,0.086
1,HC046,-1.4,16:44:00,NA,20220204,Laura,13:58:00,L,Plus,61,37,0.77,14:11,NA,Y,60.65573770491803,166,1,-1.140874,HC046,0.103
1,HC066,-1.4,17:12:00,NA,20220204,Laura,15:13:00,M,Plus,44,23,0.49,15:21,NA,Y,52.27272727272727,119,1,-1.214241,HC066,0.073
2,MM061,-1.4,16:10:00,NA,20220206,Glade,11:10:00,H,Minus,NA,NA,0.52,11:27,NA,N,0,300,3,-0.9317,MM061,0.08
